region,district,township,loss,treecover2000,percentloss,year
Mandalay,Pyin-Oo-Lwin,Thabeikkyin,1747,2255202,7.74653e-4,2001
Sagaing,Shwebo,Kanbalu,10670,1267477,0.008418299,2001
Sagaing,Shwebo,Tantabin,52,38373,0.001355119,2001
Sagaing,Shwebo,Khin-U,24,15988,0.001501126,2001
Sagaing,Shwebo,Kyunhla,3445,2033078,0.001694475,2001
Sagaing,Shwebo,Taze,562,601324,9.34604e-4,2001
Sagaing,Shwebo,Ye-U,1437,469719,0.003059276,2001
Sagaing,Katha,Pinlebu,2933,3995772,7.34026e-4,2001
Sagaing,Mawleik,Phaungbyin,2331,4061903,5.73869e-4,2001
Sagaing,Katha,Banmauk,4240,4469873,9.48573e-4,2001
Sagaing,Hkamti,Homalin,10983,13876705,7.9147e-4,2001
Sagaing,Hkamti,Khamti,13395,11956278,0.001120332,2001
Sagaing,Hkamti,Lashe,2889,3399951,8.49718e-4,2001
Sagaing,Hkamti,Lahe,22549,5607799,0.004021007,2001
Sagaing,Hkamti,Nanyun,13315,9464441,0.001406845,2001
Kachin,Myitkyina,Tanai,7896,17326417,4.5572e-4,2001
Kachin,Putao,Putao,3659,6765107,5.40864e-4,2001
Sagaing,Tamu,Tamu,1965,1883723,0.001043147,2001
Sagaing,Mawleik,Mawlaik,1995,5103451,3.90912e-4,2001
Sagaing,Kalemyo,Kalewa,844,2672961,3.15755e-4,2001
Chin,Palam,Falam,3346,2151216,0.001555399,2001
Chin,Palam,Tiddim,11190,3233127,0.003461046,2001
Chin,Palam,Tonzang,9634,4638234,0.002077084,2001
Tanintharyi,Kawthoung,Kawthaung,26563,3140789,0.008457429,2002
Ayeyarwady,Bassein,Ngaputaw,1356,2258207,6.00476e-4,2002
Ayeyarwady,Myoungmya,Labutta,7,78864,8.87604e-5,2002
Ayeyarwady,Myoungmya,Myaungmya,35,225412,1.55271e-4,2002
Ayeyarwady,Myoungmya,Wakema,14,17986,7.78383e-4,2002
Rakhine,Maungtaw,Maungdaw,2981,1296413,0.002299422,2002
Rakhine,Buthidaung,Buthidaung,5730,2160957,0.002651603,2002
Rakhine,Buthidaung,Ponnagyun & Rathedaung,1947,1031589,0.00188738,2002
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0,2002
Rakhine,Sittwe,Pauktaw,614,199933,0.003071029,2002
Rakhine,Sittwe,Myebon,8759,1624717,0.005391093,2002
Rakhine,Kyaunkpyu,Kyaukpyu,1706,587306,0.002904789,2002
Rakhine,Kyaunkpyu,An,7212,8382837,8.60329e-4,2002
Rakhine,Sittwe,Minbya,4091,3658938,0.001118084,2002
Rakhine,Sittwe,Mrauk-Oo,718,603619,0.001189492,2002
Chin,Mindat,Paletwa,14168,12225679,0.001158872,2002
Chin,Mindat,Kanpetlet,3624,2850034,0.001271564,2002
Rakhine,Sittwe,Kyauktaw,2678,1475443,0.001815048,2002
Chin,Mindat,Matupi,6656,6387534,0.00104203,2002
Chin,Palam,Thlangtlang,21474,4675850,0.004592534,2002
Chin,Palam,Haka,6260,4694623,0.00133344,2002
Chin,Mindat,Mindat,8952,4717849,0.001897475,2002
Magway,Pakokku,Saw,3729,1787752,0.00208586,2002
Magway,Pakokku,Seikpyu,300,225644,0.001329528,2002
