,n_cell,n_core_cell,n_edges_perimeter,n_edges_internal,area,core_area,perimeter,perim_area_ratio,shape_index,frac_dim_index,core_area_index,ID,FID
118,2142.131219,1920.90924,257.9458721,8310.579005,2142.131219,1920.90924,257.9458721,3.095150755,1.240474744,NA,0.011463114,118,117
119,1503.005848,1294.471837,244.3625731,5767.660819,1503.005848,1294.471837,244.3625731,3.049259994,1.247933003,NA,0.012267802,119,118
120,1940.325028,1434.318233,599.8006795,7161.499434,1940.325028,1434.318233,599.8006795,3.016107764,1.410019203,NA,0.011313434,120,119
121,1682.675364,1379.163704,357.2773032,6373.424151,1682.675364,1379.163704,357.2773032,2.926795041,1.299063308,NA,0.019567698,121,120
122,319.0066207,249.6117312,81.76537536,1194.261107,319.0066207,249.6117312,81.76537536,2.790987343,1.287117291,NA,0.022333379,122,121
123,619.3531443,435.6912032,219.738277,2257.6743,619.3531443,435.6912032,219.738277,2.943486779,1.278077156,NA,0.015805008,123,122
124,549.8101357,386.1764366,194.564395,2004.676148,549.8101357,386.1764366,194.564395,2.843121656,1.29364751,NA,0.02044331,124,123
125,542.9721773,335.549991,255.3857476,1916.502962,542.9721773,335.549991,255.3857476,3.096829936,1.227064325,NA,0.006305893,125,124
126,856.931008,599.7658374,312.8904847,3114.833547,856.931008,599.7658374,312.8904847,3.077206839,1.251844307,NA,0.007192532,126,125
127,587.1730504,430.9625241,182.161477,2166.530725,587.1730504,430.9625241,182.161477,2.768245019,1.308937281,NA,0.025422197,127,126
128,431.9138911,264.3976442,206.1353913,1521.520173,431.9138911,264.3976442,206.1353913,3.032141854,1.24026756,NA,0.007211152,128,127
129,1425.792886,1152.402313,332.9391975,5370.232346,1425.792886,1152.402313,332.9391975,3.087561708,1.246515748,NA,0.007947372,129,128
130,370.218947,215.5587957,190.1544767,1290.721311,370.218947,215.5587957,190.1544767,2.969592941,1.274407525,NA,0.008939668,130,129
131,468.9294588,319.0678946,177.2572108,1698.460624,468.9294588,319.0678946,177.2572108,2.811133174,1.291460851,NA,0.022217899,131,130
132,261.2672114,133.292794,154.2427002,890.8261452,261.2672114,133.292794,154.2427002,2.846535792,1.332904023,NA,0.016937697,132,131
133,382.5373251,267.56863,134.6539538,1395.495347,382.5373251,267.56863,134.6539538,2.731521177,1.311883915,NA,0.025985727,133,132
134,998.9694146,780.2697995,256.9637432,3738.913915,998.9694146,780.2697995,256.9637432,2.893101133,1.279466863,NA,0.018379363,134,133
135,359.7464466,245.1410886,135.2356062,1303.75018,359.7464466,245.1410886,135.2356062,2.772208356,1.301272701,NA,0.021840374,135,134
136,586.4917213,358.1305842,272.6141831,2073.352702,586.4917213,358.1305842,272.6141831,2.804166516,1.343841379,NA,0.023430926,136,135
137,741.1565679,539.2403804,237.3113667,2727.314905,741.1565679,539.2403804,237.3113667,2.826707507,1.313031876,NA,0.024943079,137,136
138,740.605894,544.822758,230.6965595,2731.727016,740.605894,544.822758,230.6965595,2.800868166,1.283404793,NA,0.022661992,138,137
139,1562.015113,1342.113986,256.6203893,5991.440061,1562.015113,1342.113986,256.6203893,2.891091883,1.259107502,NA,0.015256869,139,138
140,468.7500936,345.691248,144.9638392,1730.036535,468.7500936,345.691248,144.9638392,2.786590774,1.304295004,NA,0.022559149,140,139
141,2307.225507,2028.354548,327.0573791,8901.84465,2307.225507,2028.354548,327.0573791,2.935745574,1.260982188,NA,0.010475293,141,140
142,5989.255703,5304.523077,791.9108753,23165.11194,5989.255703,5304.523077,791.9108753,3.06201382,1.308116426,NA,0.009982071,142,141
143,657.6067142,452.3035446,245.0795199,2385.347337,657.6067142,452.3035446,245.0795199,2.858969768,1.297426769,NA,0.018995723,143,142
144,481.4178054,322.6842105,190.4930321,1735.17819,481.4178054,322.6842105,190.4930321,2.855952329,1.321878189,NA,0.017682177,144,143
145,1247.004127,928.0965745,378.4638877,4609.552621,1247.004127,928.0965745,378.4638877,2.935793573,1.324930801,NA,0.013434175,145,144
146,438.1846115,292.6822383,170.9527854,1581.785661,438.1846115,292.6822383,170.9527854,2.712046936,1.317354503,NA,0.026617491,146,145
147,369.2819394,291.730683,89.52719122,1387.600566,369.2819394,291.730683,89.52719122,2.615798827,1.374438715,NA,0.036496459,147,146
148,586.8793487,457.7858843,151.328623,2196.188772,586.8793487,457.7858843,151.328623,2.773235059,1.304775472,NA,0.026233705,148,147
149,498.3586672,445.8723325,60.10033695,1933.334332,498.3586672,445.8723325,60.10033695,2.60476653,1.331203694,NA,0.033375732,149,148
150,273.6561853,209.7170966,74.92487291,1019.699868,273.6561853,209.7170966,74.92487291,2.613712899,1.35403068,NA,0.032306457,150,149
151,631.415156,462.2310287,199.1652614,2326.495363,631.415156,462.2310287,199.1652614,2.771448787,1.318882566,NA,0.025541445,151,150
